Rank,Root Domain
1,http://apple.com
2,http://www.google.com
3,http://youtube.com
4,http://docs.google.com
5,http://microsoft.com
6,http://www.blogger.com
7,http://play.google.com
8,http://support.google.com
9,http://wordpress.org
10,http://plus.google.com
11,http://linkedin.com
12,http://adobe.com
13,http://en.wikipedia.org
14,http://maps.google.com
15,http://cloudflare.com
16,http://vimeo.com
17,http://youtu.be
18,http://googleusercontent.com
19,http://drive.google.com
20,http://mozilla.org
21,http://somejunkwebsitename87629.com
